ac_name,ac_no,district,winning_cand,party,Governor,Chief Minister,,,
Mudhukulathur,212,Ramanathapuram,R.S.Rajakannappan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Gangavalli,81,Salem,"Nallathambi,a.",All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Attur,82,Salem,"Jayasankaran, A.P.",All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Yercaud,83,Salem,G. Chitra,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Omalur,84,Salem,R.Mani,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Mettur,85,Salem,Sadhasivam.S,Pattali Makkal Katchi,R. N. Ravi,M.K. Stalin,,,
Edappadi,86,Salem,Edappadi Palaniswami. K,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sankari,87,Salem,"Sundararajan, S.",All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Salem (West),88,Salem,Arul. R,Pattali Makkal Katchi,R. N. Ravi,M.K. Stalin,,,
Ayothiyapattinam,89,Salem,R. Rajendran,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Salem (South),90,Salem,E.Balasubramanian,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Veerapandi,91,Salem,"Rajamuthu, M.",All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Karaikudi,184,Sivaganga,S.Mangudi,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Tiruppattur,185,Sivaganga,Kr.Periyakaruppan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sivaganga,186,Sivaganga,Pr. Senthilnathan,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Manamadurai,187,Sivaganga,Tamilarasi A.,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiruvidaimarudur,170,Thanjavur,"Chezhiaan, Govi.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kumbakonam,171,Thanjavur,"Anbalagan, G.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Papanasam,172,Thanjavur,"Dr.Jawahirullah, M.H.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiruvaiyaru,173,Thanjavur,Durai.Chandrasekaran,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thanjavur,174,Thanjavur,"Neelamegam, T.K.G.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Orathanadu,175,Thanjavur,"Vaithilingam, R.",All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Pattukkottai,176,Thanjavur,"Annadurai, K.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Peravurani,177,Thanjavur,"Ashokkumar, N.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Udhagamandalam,108,The Nilgiris,"Ganesh, R.",Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Gudalur,109,The Nilgiris,Pon.Jayaseelan,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Coonoor,110,The Nilgiris,"Ramachandran, K.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Andipatti,198,Theni,A.Maharajan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Periyakulam,199,Theni,K.S.Saravanakumaar,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Bodinayakanur,200,Theni,O.Panneerselvam,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Cumbum,201,Theni,N.Ramakrishnan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Gummidipoondi,1,Thiruvallur,Govindarajan T.J,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Ponneri,2,Thiruvallur,Durai. Chandrasekar,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Tiruttani,3,Thiruvallur,S.Chandran,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiruvallur,4,Thiruvallur,"Raajendran, V.G.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Poonamallee,5,Thiruvallur,Krishnaswamy A,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Avadi,6,Thiruvallur,Nasar S M,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Maduravoyal,7,Thiruvallur,Ganapathy.K,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Ambattur,8,Thiruvallur,Joseph Samuel,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Madavaram,9,Thiruvallur,Sudharsanam. S,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiruvottiyur,10,Thiruvallur,K.P.Shankar,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiruthuraipoondi,166,Thiruvarur,Marimuthu K,Communist Party Of India,R. N. Ravi,M.K. Stalin,,,
Mannargudi,167,Thiruvarur,Rajaa T R B,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiruvarur,168,Thiruvarur,Kalaivanan Poondi K.,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Nannilam,169,Thiruvarur,Kamaraj R,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Vilathikulam,213,Thoothukkudi,Markandayan V,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thoothukkudi,214,Thoothukkudi,P.Geetha Jeevan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tiruchendur,215,Thoothukkudi,Anitha R. Radhakrishnan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Srivaikuntam,216,Thoothukkudi,Amirtharaj .S,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Ottapidaram,217,Thoothukkudi,Shunmugaiah C,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kovilpatti,218,Thoothukkudi,Kadambur Raju,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kulithalai,137,Tiruchirappalli,R.Manickam,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Manapparai,138,Tiruchirappalli,Abdul Samad P,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Srirangam,139,Tiruchirappalli,Palaniyandi.M,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tiruchirappalli (West),140,Tiruchirappalli,"Nehru, K.N.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tiruchirappalli (East),141,Tiruchirappalli,"Inigo Irudayaraj,s.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiruverumbur,142,Tiruchirappalli,Anbil Mahesh Poyyamozhi,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Lalgudi,143,Tiruchirappalli,A.Soundarapandian,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Manachanallur,144,Tiruchirappalli,S. Kathiravan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Musiri,145,Tiruchirappalli,N. Thiyagarajan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thuraiyur,146,Tiruchirappalli,S.Stalinkumar,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sankarankovil,219,Tirunelveli,Raja E,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Vasudevanallur,220,Tirunelveli,"Sadhan Thirumalaikumar, Doctor.T",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kadayanallur,221,Tirunelveli,C.Krishnamurali,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tenkasi,222,Tirunelveli,Palani Nadar.S,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Alangulam,223,Tirunelveli,Paul Manoj Pandian,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tirunelveli,224,Tirunelveli,Nainar Nagenthran,Bharatiya Janta Party,R. N. Ravi,M.K. Stalin,,,
Ambasamudram,225,Tirunelveli,E.Subaya,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Palayamkottai,226,Tirunelveli,Abdul Wahab .M,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Nanguneri,227,Tirunelveli,Ruby R Manoharan,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Radhapuram,228,Tirunelveli,M.Appavu,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Chengam,62,Tiruvannamalai,Giri.M.P,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tiruvannamalai,63,Tiruvannamalai,E V Velu,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kilpennathur,64,Tiruvannamalai,K.Pitchandi,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kalasapakkam,65,Tiruvannamalai,Saravanan.P.S.T,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Polur,66,Tiruvannamalai,Agri Krishnamurthy. S S,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Arani,67,Tiruvannamalai,S.Ramachandran,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Cheyyar,68,Tiruvannamalai,Jothi. O,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Vandavasi,69,Tiruvannamalai,Ambethkumar S,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Arakkonam,38,Vellore,S.Ravi,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sholinghur,39,Vellore,A.M.Munirathinam,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Katpadi,40,Vellore,Duraimurugan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Ranipet,41,Vellore,R.Gandhi,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Arcot,42,Vellore,J.L.Eswarappan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Vellore,43,Vellore,Karthikeyan .P,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Anaikattu,44,Vellore,A.P.Nandakumar,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kilvaithinankuppam,45,Vellore,M.Jagan Moorthy,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Gudiyattam,46,Vellore,Amulu.V,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Vaniyambadi,47,Vellore,G.Sendhil Kumar,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Ambur,48,Vellore,Vilwanathan.A.C,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Jolarpet,49,Vellore,Devaraji.K.,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
